date,status_text,predicted_stance,predicted_country,stance_anno1,country_anno1,stance_anno2,country_anno2,stance_gold,country_gold
03/01/19,"Pakistan emerged as a great nation, stands as one, strong, dignified and gloriously unconquerable, continues to play its responsible role in the region, by the grace of God. #imrankhanPTI #PakistanLeadsWithPeace #pakistanZindabad",anti_war,pro_pakistan,anti_war,pro_pakistan,anti_war,pro_pakistan,anti_war,pro_pakistan
03/02/19,"I as an PROUD Indian 🇮🇳 professor tweeting from the University of New Delhi want absolutely nothing to do with that rascal Modi. #SayNoToWar #PakistanLeadsWithPeace  I stand with our brothers &amp; sisters in Pakistan 🇵🇰. It's about time that scoundrel is ousted. 1/2NEXT_TWEETThe only way @narendramodi can win in these elections is if @ImranKhanPTI tells Indians to vote for him! 
#AbhinandanVartaman go back to your family , have a great life ! 

Love 
Pakistan 

#SayNoToWar",anti_war,pro_pakistan,anti_war,pro_india,anti_war,pro_india,anti_war,pro_india
02/18/19,At least now... BAN the sale of surplus power to Pakistan... While shouting against Pak terrorism... @PMOIndia @NarendraModi @PiyushGoyal are quietly FEEDING the enemy.... #Pulwama #CRPF .... https://t.co/1m7YzTKIAf,anti_war,pro_pakistan,cant_say,pro_india,cant_say,pro_india,cant_say,pro_india
03/02/19,"अपने गली में कुत्ते भी शेर होते हैं
@ImranKhanPTI सहित पूरी पाकिस्तानी अवाम ने ये साबित कर दिया।
#Abhinandan https://t.co/VvjZXB72LHNEXT_TWEET@ArvindKejriwal 
@MamataOfficial 
@RahulGandhi 
@jigneshmevani80 
@AcharyaPramodk 
पाकिस्तान से आपके लिए F16 फाईटर आया हैं जल्द से बैठ जाइए 🤸
@VedTiwari भाई को लाइव देखना हैं
#Abhinandan जी ने कैसे मिग से इसे मार गिराया था 
@realDonaldTrump बहुत उत्साहित हैं देखने के लिए 😛😂😂 https://t.co/XT9gGlgrVKNEXT_TWEETDear Bollywood,
Don't you dare make a biopic of Commander Abhinandan.
Kyunki unka kirdar nibha sako, 
Iss layaq nahi ho tum.

#WelcomeHomeAbhinandan #AbhinandanNEXT_TWEETWe have Wg Cdr Abhinandan back with us.
Indian Air Force is proud of our Airwarrior #Abhinandan. (5/5)
#WelcomeHomeAbhinandan",pro_war,pro_india,pro_war,pro_india,pro_war,pro_india,pro_war,pro_india
03/04/19,Our people believe and stand by the armed forces. It's you and your gang they don't believe. Stop politicizing #Pulwama. Stop pretending to be heroes on the backs of real heroes. You should respect the forces. You are not a soldier. Don't expect to be treated like one. Jai Hind. https://t.co/SEwI1Zw5Bh,Unclassified,Neutral,cant_say,pro_india,cant_say,pro_india,cant_say,pro_india
03/02/19,"कैप्टन साहब कांग्रेस पार्टी में आपकी आत्मा छटपटा रही होगी.....

कैप्टन अमरिंदर फौजी है...
वो जानता है उसे क्या करना चाहिये...
बस गलती से कांग्रेस में जा बैठा है...
इस समय उनकी वही हालत है...

जैसे महाभारत के युद्ध में "" कर्ण ""
#मोदी_है_तो_मुमकिन_है 👍
#अभिनंदन🌹 
#Abhinandan 🇮🇳✌",pro_war,pro_india,pro_war,pro_india,pro_war,pro_india,pro_war,pro_india
03/04/19,"How to get vote by war
@narendramodi 
@ImranKhanPTI 
#warmongermodi
#PakistanZindabad
#PakHonorsHasanSiddiqui 
#AirstrikeBlamegame https://t.co/PSemvLgucxNEXT_TWEETThere is religious freedom for Hindus, I saw today, It was biggest procession by people, they were going to Shiv Mahadev Temple, they were crossing me, It is #ShivRatri today night! I will pray for my country, #Pakistan

#ReligiousFreedom
#PakistanZindabad
#NoExterimism https://t.co/bvUoSg0rgk",anti_war,pro_pakistan,anti_war,pro_pakistan,anti_war,pro_pakistan,anti_war,pro_pakistan
02/28/19,@CestMoiz पाकिस्तान शर्तों के साथ #Abhinandan को रिहा करने की बात करते करते घुटनों के बल आ गया.... बिना शर्त रिहा करने को तैयार.. 😊#ModiFor2019 #ModiOnceMore,anti_war,pro_pakistan,pro_war,pro_india,pro_war,pro_india,pro_war,pro_india
02/28/19,"A great positive gesture from #Pakistan to release Indian Pilot #Abhinandan tomorrow.
Despite credible military capabilities Pakistan has opted &amp;stepped for Peace.
This should de-escalate the situation &amp; must be responded positively by #India
#LetBetterSensePrevail 
#SayNoToWarNEXT_TWEETJets hovering over Islamabad again, Karachi on High alert.... Indians on the other side must be under the same situation.  can't sleep, praying for peace and sanity to prevail. 
Stay safe #India #Pakistan and let's  #SayNoToWar
 🇮🇳🇵🇰NEXT_TWEETIf the #US wants to play a role in diffusing tensions between #India and #Pakistan it should be welcomed. An escalation between two #nuclear states could be detrimental for the entire world - Senator @sherryrehman on @POTUS' statements.
#SayNoToWar https://t.co/BpwvUVHdrVNEXT_TWEET#PakistanZindabad 
@LiaquatShahani_ @peoples_doctors @ShahinaSaeeda @AnnieNoorulain @asgaad @ShakeelChPPP @sariyarana @AijazAhmads @farhana_mubeen @PPP_Org @Sania78179151 @MediaCellPPP @ARYNEWSOFFICIAL @PPP_SMT @SocialMediaPPP @PPPPunjab_SM @ https://t.co/Tov7hRaSSwNEXT_TWEET#PakistanZindabad https://t.co/XfNDRnVxNqNEXT_TWEETسندھ میں امن و امان بحال کرنے پر سندھ پولیس کے جوانوں کو خراج تحسین پیش کرتے ہوئے کہا کہ شہید پولیس اہلکاروں کی بیوہ اور ورثاء کو ایک کروڑ روپے ، نوکری اور ریٹائرمنٹ تک مکمل تنخواہ اور رہائشی پلاٹ بھی فراہم کیے جارہے ہیں ۔
#SindhPolice #PakistanZindabad #69PassingOutParade #SNHS https://t.co/2VjRa6E3K2",anti_war,pro_pakistan,anti_war,pro_pakistan,anti_war,pro_pakistan,anti_war,pro_pakistan
02/28/19,"@TajinderBagga पाकिस्तान से ज्यादा हालत खराब तो भारत मैं बैठे पाकिस्तानी दलालों कि हो रखी है जो कहते हैं #SayNoToWar 

और हम देशभक्त कहते हैं #SayYesToWarNEXT_TWEETजो #SayNoToWar ट्रेंड चला के पाकिस्तान का प्रॉपगैंडा पूरा कर रहे है उनसे इतना ही कहूँगी, ये वीडीयो देखिए और तय करे की जिस देश की आर्मी ख़ुद आतंकवादियो को पालती है,उनसे कैसी बातचीत?
70 साल में नेहरु से लेके मनमोहन जी ने बातचीत की,बदले में पाकिस्तान ने किया दिया सिवाए आतंकवाद के??? https://t.co/cCNzh0LAIL",anti_war,pro_pakistan,pro_war,pro_india,pro_war,pro_india,pro_war,pro_india
02/28/19,"What be the consequences if India and Pakistan had a nuclear war.  Explained by atmospheric scientist Brian Toon.  #SayNoToWar

Source: TedxTalks
#SayNoToWar #Sialkot #IndiaStrikesPakistan #UnitedWeStrike https://t.co/WqDFwQRFZL",anti_war,Neutral,anti_war,cant_say,anti_war,cant_say,anti_war,cant_say
02/15/19,"The hedonism &amp; drunken debauchery in big cities - appalling how ignorant &amp; unappreciative people here are about the horrors our soldiers have to face so we can enjoy the freedoms we so take for granted #RIPBraveHearts #CRPFJawans #PhulwamaTerrorAttack #PulwamaRevenge #BadlaKabNEXT_TWEETNews from Indian #Kashmir of #suicidebombing claimed by Pakistan based group #JaisheMohammed reminds me pf Gen Amjad predicting this few months ago

""یہ طریقہ کار وہاں ابھی شروع نہیں ہوا جسے ہم خودکش حملے کہتے ہیں۔آپ دیکھیں گے کہ یہ چیز وہاں شروع ہونی ہے: جنرل امجد ، اکتوبر 2018"" https://t.co/GnFXMa5DQGNEXT_TWEETAfter this ghastly Terror attack in #Pulwama if we want to actualise #IndiaWantsRevenge then get the fundamentals clear:
1. What is going on J&amp;K is a war 2. Islamic theology is the justification 4 this war 3. There is a terror ecosystem in &amp; outside the valley that sustained this",pro_war,pro_india,pro_war,pro_pakistan,pro_war,pro_pakistan,pro_war,pro_pakistan
02/19/19,"10-year-old Supriya lights the funeral pyre of her father Pradeep Singh Yadav who was martyred in the Pulwama attack.
We should respect the freedom we have, itcomes at a heavy price. 🙏🇮🇳
#IndiaWithMartyrs #PulwamaAttack https://t.co/sTFHFEJQsn",anti_war,pro_india,neutral,pro_india,neutral,pro_india,neutral,pro_india
03/03/19,"#Indians are looking for a chip in #Abhinandan’s body in the wrong places.

THEY SHOULD CHECK HIS HEART. 

Us #Pakistanis have put a chip loaded with hospitality &amp; love for Pakistan in his HEART.

Keep our boys safe in #India. We have 2 of them there now, Major Adnan Sami &amp; Abhi.NEXT_TWEETIndia Media at its best 😂. Their anchors asking viewers to delete video of #IndianPilot #Abhinandan from their phones. So that no one can watch how he exposed Indian Media and appreciated #PakistanArmy https://t.co/JlPlf6zLFYNEXT_TWEET#Indian Sources are confirming it that according to #AbhinanDan's family '' #IndiansecretAgencies are forcing #AbhinandanVarthaman to record a statement against #ISI that they threatened and harassed him to record a statement against #IndianMedia before he left 4 #India. 
#ShameNEXT_TWEETLet's see hw much #Abhinandan resists against the demands of #IndianAgencies to spit the venom against #Pakistan n #PakistanArmy.
Next 48 hours are important regarding #AbhinandanVarthaman'new statemen.. #IndianMedia is confident that he he will disown his earlier statements 3/3 https://t.co/6tNBGKPHzmNEXT_TWEETPresident @RT_Erdogan says #Turkey ready to do its part to de-escalate tension b/w #Pakistan , #India
https://t.co/2wKGbxbReC
@SMQureshiPTI @Asad_Umar @PTIofficial @ShkhRasheed @FaisalJavedKhan #PakSymbolOfPeace #PakistanLeadsWithPeace #SayNoToWarNEXT_TWEETInternational print, electronic #media praising #Pakistan 's overtures to de-escalate tension with #India 
https://t.co/iCYXdcetI2 📺📰🗞️
@ImranKhanPTI @SMQureshiPTI @Asad_Umar @PTIofficial @ShkhRasheed @FaisalJavedKhan #LetBetterSensePrevail #PakistanLeadsWithPeace #SayNoToWarNEXT_TWEET#IndianMedia is playing so irresponsible &amp; negative role, most of the Indian anchors have become puppets of #Modi’s dirty politics. Don’t forget #Pakistan is a nuclear state too. Wake up &amp; promote peace for betterment &amp; prosperity of the entire region. #SayNoToWar https://t.co/LBKtkbPYdYNEXT_TWEETعدنان سمیع وہ واحد شخص ہے جس پر تمام پاکستانی شرمندہ ہیں، شان - https://t.co/WLJ8ZjXTt4
 #Bollywood #SayNoToWar #MajorAdnanSami https://t.co/nBBRpcYrbrNEXT_TWEET#BJP behind #Pulwamaattack, reveals audio leak
#ARYNews 

https://t.co/FooGge0zLCNEXT_TWEETBJP behind #Pulwamaattack, reveals audio leak

Listen here: https://t.co/7M3uFuhgOZ

#ARYNewsNEXT_TWEETخدا کی قسم پوری دنیا میں نا کوئی ایسی فوج ہے نا کوایسی عوام ہے جو ایک دوسرے سے اتنا پیار کرتے ہیں
انکو دنیا کی کوئی طاقت نہیں ہراسکتی

پاکستان زندہ باد
پاک فوج پائیندہ https://t.co/coR3wNRanO
#PakSymbolOfPeace
#PakistanLeadsWithPeace 
#PakistanZindabadNEXT_TWEET“پاکستان زندہ باد، پاکستان زندہ باد ، ... یہ تمہارا مودی کہا گھس گیا ہے” - ایک ہندوستانی نے اپنے گھر میں پاکستان زندہ باد کے نعرے لگانے شروع کر دیے ، محلے والوں روکنے آئے پر پھر بھی وہ اپنی بات پر ڈٹا رہا

#PakistanZindabad #Pakistan #india #PMIK #Modi 

https://t.co/wacbc7f6x8",anti_war,pro_pakistan,anti_war,pro_pakistan,anti_war,pro_pakistan,anti_war,pro_pakistan
02/19/19,"Events after #PulwamaAttack -
1) Iran supports India's endeavour; says 'Pakistan will pay price' (https://t.co/bitWdgv2ZY)
2) India calls back its envoy to Pakistan for discussion on the current situation. Pakistan does the same.
3) US NSA and Indian NSA talk.
#ForcesWarnPak",pro_war,pro_india,pro_war,pro_india,pro_war,pro_india,pro_war,pro_india
03/02/19,"कितने बेशर्मी से झूठ बोलते हो।
#Abhinandan का आना सिर्फ ,जिनेवा समझौता है, #ModiNiti नहीं।
अगर इतने ही कूटनीतिज्ञ है मोदी जी तो क्यों माल्या जैसे अय्याश चोर बाहर है 
क्या ये मोदी की छूट नीति नहीं। https://t.co/LhUqHUDDdr",anti_war,pro_pakistan,cant_say,pro_india,cant_say,pro_india,cant_say,pro_india
02/24/19,"मैं घोषणा करता हूँ कि जिस भी दिन धारा 370 हटी उस दिन कश्यप ऋषि की घाटी #कश्मीर में सबसे पहले मैं जमीन खरीदूंगा... 
@narendramodi सरकार पहला कदम आगे बढ़ाए, दूसरा मैं बढ़ाऊंगा .. #Pulwama #Article370 #RemoveArticle370and35A #RemoveArticle370",pro_war,pro_india,pro_war,pro_india,pro_war,pro_india,pro_war,pro_india
03/04/19,"So Indian SU 30 MKI Jet was shot down By Wing Commander Nauman Ali Khan  and Mig-21 was shot down By Sqd Leader Hassan Siddiqui. 

#PAFZindabad 
#PakistanArmyZindabad 
#PakistanZindabad https://t.co/ylRMnYs1aV",anti_war,pro_pakistan,pro_war,pro_pakistan,pro_war,pro_pakistan,pro_war,pro_pakistan
02/20/19,"पूरा देश जब आज प्रधानमंत्री के साथ खड़ा है
.
.
.
और प्रधानमंत्री खुद रैली में पड़ा है।।
#वाराणसी #चोकीदार_कमज़ोर_है 
#चौकीदार_ही_चोर_है #PulwamaAttackNEXT_TWEETCongress president @RahulGandhi went and met the family of martyr in UP whereas Mr 56” went to airport to recieve and hug Soudi Crown prince who funded Pakistan $20 bn immediately after #PulwamaAttack https://t.co/Ft1GEW4xbe",anti_war,pro_india,anti_war,pro_india,anti_war,pro_india,anti_war,pro_india
03/01/19,#SayNoToWar #PeaceNotWar https://t.co/DDI2laqrAU,Unclassified,pro_india,anti_war,pro_india,anti_war,pro_india,anti_war,pro_india
02/27/19,"saw Modi addressing a rally yesterday and his speech was full of jingoism. Now compare it to PM @ImranKhanPTI speech today...cool, calm, asking for peace/dialogue #SayNoToWarNEXT_TWEETEscalation of tensions between #India #Pakistan are very worrying. A reminder that underlying issues in #Kashmir must be addressed. 'Excessive use of state-led violence' and persistent human rights abuses under PM Modi have caused a growing insurgency in Kashmir. #SayNoToWar https://t.co/8kbLQhDbBRNEXT_TWEET#Saynotowar trends no 1 in India, clearly shows that even Indian public is not ready to play in hands of Modi who is just trying to run his dirty election campaign at the cost of it's nation's blood. 

#peacenotwarNEXT_TWEETThe dignified treatment of the captured IAF pilot by Pakistani forces (who saved him from an angry mob) is drawing praise from both Indians and Pakistanis. #SayNoToWar 🇵🇰🇮🇳 https://t.co/DWHJkjlzIqNEXT_TWEETI want to put this on record, and I will never change this statement if I go back to India. The officers of Pakistan Army treated me very well, they are thorough gentlemen,

#PakistanStrikesBack #paksitanzindabad #PakistanArmy 
#SayNoToWar #India #IAF #AbhinandanVarthaman https://t.co/ZWWlYXkk9fNEXT_TWEET""اندر خانے یہ آوازیں اٹھنے لگی ہیں کہ پاکستان نے جو پائلٹ پکڑا اسکی فوٹو دکھادی۔۔ آپ 300 دہشتگرد مارنے کا دعویٰ کرتے ہیں کسی ایک کی فوٹو تو دکھادیتے""- بھارتی اینکر کی اپنی حکومت پر تنقید
#SayNoToWar #PakistanArmyZindabad

https://t.co/lXaUJEzAZz",anti_war,pro_pakistan,anti_war,pro_pakistan,anti_war,pro_pakistan,anti_war,pro_pakistan
02/18/19,"While Indians are in a mad war frenzy, threatening to attack, Pakistanis are simply in epic trolling mode....🤣..asking the Indians to delay the attack till #PSL2019 final..😁

Here we also bring you exclusive footage of Indian army marching to border.
#PulwamaAttack https://t.co/rCK4BN5Aia",anti_war,pro_pakistan,anti_war,pro_pakistan,anti_war,pro_pakistan,anti_war,pro_pakistan
02/27/19,"Silsila yeh bad mere yuhi chalna chahiye..... (complete this line) 

This will be a tribute to the martyrs of #PulwamaAttack #HindustanVSPakistan #VijaySankalpWithModi #MeraParivarBhajapaParivar #IndianArmy #IndianArmyOurPride #BJP4india @narendramodi",anti_war,pro_pakistan,anti_war,pro_india,anti_war,pro_india,anti_war,pro_india
02/26/19,"Because neither Jaish nor its sugar daddy #Pakistan believed it's #NewIndia? Because of limp response to 26/11 they couldn't imagine #IndiaStrikesBack? Because @ImranKhanPTI thought PM @narendramodi was listening to The Beatles 'White Album' last night? Happens. #Balakot #Pulwama https://t.co/YnZJG0I6SfNEXT_TWEETI never lost hope in @narendramodi ji. I was sure that he is not going to stay quiet on #PulwamaAttack. Was just a matter of time India struck back and they hv struck back gloriously. Much unlike Manmohan Singh ji, who never showed same bravado after 26/11.

#SurgicalStrike2 https://t.co/md8rZGFtp6NEXT_TWEETAwww, so cute, all the jamat-e-fiberal guys who were rejoicing at the #PulwamaAttack are suddenly discovering the bravery of #IAF! Yes, indeed, congrats to our pilots, but the credit for this audacious attack goes to the leadership, and Indian people are not as stupid as fiberalsNEXT_TWEETThree key points in #IAFstrikes: 1) Mirage jets struck #JeM 80 km deep into Pak territory in #KhyberPakhtunkwa, @ImranKhanPTI’s backyard; 2) Nearly 300 JeM terrorists reportedly killed along with #YusufAzhar; 3) 21- min per/dawn operation, actual strikes took 90 secs",pro_war,pro_india,pro_war,pro_india,pro_war,pro_india,pro_war,pro_india
02/20/19,"Yesterday when in a #PulwamaAttack debate..the Congress Spokie was asked by the anchor “कौन चोर है-इमरान खान या भारत के PM” ..जवाब आया “दोनो चोर हैं” ..और नारा पाकिस्तान के ख़िलाफ़ नहीं श्री मोदी जी के ख़िलाफ़ लगातार लगाता रहा ..
Objecting to this I left the debate
Audacious !! https://t.co/cVRPLLpqco",anti_war,pro_pakistan,anti_war,pro_india,anti_war,Pro_india,anti_war,pro_india
02/17/19,"अहमदाबाद का यह चायवाला जिसने आज अपनी दिनभर की कमाई पुलवामा के शहीदों के सम्मान में दान कर दी है....
शिखर से सतह तक बह रही भावनाओं की इस बयार को कोटि कोटि प्रणाम...🙏🙏
#PulwamaAttack https://t.co/YVbUbfVZlx",anti_war,pro_india,pro_war,pro_india,pro_war,pro_india,pro_war,pro_india
03/02/19,"While we were celebrating #Abhinandan’s return, #Pakistan continued to violate the ceasefire in J&amp;K. Two jawans were martyred and three civilians including a 5 year old and a nine month old were killed. And they talk about #peace and #PeaceGestures. Enough of this double speak!NEXT_TWEETPakistan's Foreign Minister,Shah Mahmood Qureshi, by mistake accepts on BBC News that their government is in contact with the leadership of terrorist group Jaish e Muhammad which had claimed the responsibility of #PulwamaTerrorAttack !!!!!!
#WelcomeHomeAbhinandan 
#Abhinandan https://t.co/pZFdj6IsdR",anti_war,pro_pakistan,pro_war,pro_india,pro_war,pro_india,pro_war,pro_india
02/26/19,"#SurgicalStrikes2 
पुरा मुल्क हुकूमत के साथ है...
हालांकि आतंकियों  पर एक्शन 12 दिन पहले ही ले लेना चाहिए - @asadowaisi 
#JoshIsHigh #Surgicalstrike2 #IndianAirForce #IndiaStrikesBack #Balakot #JOSH  #Jaish #highSir  #Chakothi #Muzaffarabad   #PulwamaTerroristAttack https://t.co/YuK4tSKcxANEXT_TWEET#SurgicalStrikes2 
पुरा मुल्क हुकूमत के साथ है...
हालांकि आतंकियों  पर एक्शन 12 दिन पहले ही ले लेना चाहिए - @aimimofficial1 चीफ @asadowaisi 
@syedKashaf95
#JoshIsHigh #Surgicalstrike2 #IndianAirForce #JOSH  #Jaish #highSir  #Chakothi #Muzaffarabad   #PulwamaTerroristAttack",anti_war,pro_india,pro_war,pro_india,pro_war,pro_india,pro_war,pro_india
